Year,Round,Pick,Overall,Team,PlayerName,Pos,Country,Ht,Wt,AmateurLeague,AmateurTeam,PlayerID,Status,GamesPlayed,Points,PPG
2011,1,30,30,ANA,Rickard Rakell,RW,SWE,72,199,OHL,Plymouth,8476483,other_team,45,39,0.867
2011,2,9,39,ANA,John Gibson,G,USA,75,206,USHL,USA U-18,8476434,active,24,12,0.5
2011,2,23,53,ANA,William Karlsson,C,SWE,72,163,SWE-JR.,Vasteras Jr.,8476448,active,44,18,0.409
2011,3,4,65,ANA,Joseph Cramarossa,C,CAN,72,190,OHL,Mississauga St. Michael's,8476390,other_team,15,6,0.4
2011,3,22,83,ANA,Andy Welinski,D,USA,73,188,USHL,Green Bay,8476407,inactive,27,26,0.963
2011,5,22,143,ANA,Max Friberg,LW,SWE,61,195,SWEDEN-3,Skovde,8476384,inactive,8,5,0.625
2011,6,9,160,ANA,Josh Manson,D,CAN,75,205,BCHL,Salmon Arm,8476312,inactive,29,0,0
2010,1,12,12,ANA,Cam Fowler,D,CAN,73,190,OHL,Windsor,8475764,inactive,98,61,0.622
2010,1,29,29,ANA,Emerson Etem,RW,USA,72,190,WHL,Medicine Hat,8475770,other_team,72,2,0.028
2010,2,12,42,ANA,Devante Smith-Pelly,RW,CAN,72,211,OHL,Mississauga,8475758,active,31,3,0.097
2010,5,2,122,ANA,Christopher Wagner,RW,USA,72,200,EJHL,South Shore,8475780,other_team,23,16,0.696
2010,5,12,132,ANA,Tim Heed,D,SWE,61,165,SWEDEN,Sodertalje,8475841,other_team,69,68,0.986
2010,6,11,161,ANA,Andreas Dahlstrom,C/W,SWE,61,176,SWEDEN-2,Aik,8475862,active,55,55,1
2010,6,27,177,ANA,Kevin Lind,D,USA,75,202,USHL,Chicago,8475914,inactive,48,36,0.75
2010,7,12,192,ANA,Brett Perlini,RW,CAN,74,200,CCHA,Michigan State,8475885,active,48,40,0.833
2009,1,15,15,ANA,Peter Holland,C,CAN,74,185,OHL,Guelph,8475180,active,150,105,0.7
2009,1,26,26,ANA,Kyle Palmieri,F,USA,61,191,USDP,USA U-18,8475151,inactive,99,38,0.384
2009,2,7,37,ANA,Mat Clark,D,USA,75,205,OHL,Brampton,8475162,other_team,90,79,0.878
2009,3,15,76,ANA,Igor Bobkov,G,RUS,76,192,RUSSIA-3,Magnitogorsk 2,8475251,inactive,128,16,0.125
2009,4,15,106,ANA,Sami Vatanen,D,FIN,69,163,FINLAND-JR.,JYP JR.,8475222,active,133,90,0.677
2009,5,15,136,ANA,Radoslav Illo,C,SVK,72,161,USHL,Tri-City,8475261,active,51,25,0.49
2009,6,15,166,ANA,Scott Valentine,D,CAN,72,196,OHL,Oshawa,8475305,inactive,42,15,0.357
2008,1,17,17,ANA,Jake Gardiner,D,USA,73,173,HIGH-MN,Minnetonka,8474581,inactive,14,10,0.714
2008,2,5,35,ANA,Nicolas Deschamps,C,CAN,72,173,QMJHL,Chicoutimi,8474598,active,66,23,0.348
2008,2,9,39,ANA,Eric O'Dell,C,CAN,72,195,OHL,Sudbury,8474603,active,42,39,0.929
2008,2,13,43,ANA,Justin Schultz,D,CAN,73,163,BCHL,Westside,8474602,inactive,6,0,0
2008,3,10,71,ANA,Josh Brittain,L,CAN,76,210,OHL,Kingston,8474630,other_team,17,11,0.647
2008,3,22,83,ANA,Marco Cousineau,G,CAN,72,195,QMJHL,Baie Comeau,8474644,other_team,56,41,0.732
2008,3,24,85,ANA,Brandon McMillan,C,CAN,61,188,WHL,Kelowna,8474646,inactive,127,126,0.992
2008,4,22,113,ANA,Ryan Hegarty,D,USA,72,196,USDP,USA U-18,8474677,inactive,14,13,0.929
2008,5,22,143,ANA,Stefan Warg,D,SWE,74,187,SWE-JR.,Vasteras Jr.,8474703,inactive,78,74,0.949
2008,7,27,208,ANA,Nick Pryor,D,USA,61,184,USDP,USA U-18,8474766,inactive,176,40,0.227
2007,1,19,19,ANA,Logan Macmillan,C,CAN,73,172,QMJHL,Halifax,8474122,active,213,50,0.235
2007,2,12,42,ANA,Eric Tangradi,C,USA,76,221,OHL,Belleville,8474025,active,120,2,0.017
2007,3,2,63,ANA,Maxime Macenauer,C,CAN,61,188,QMJHL,Rouyn-Noranda,8474139,active,80,44,0.55
2007,4,1,92,ANA,Justin Vaive,L,USA,77,210,USDP,USA U-18,8474104,active,163,161,0.988
2007,4,2,93,ANA,Steven Kampfer,D,USA,61,197,CCHA,U. of Michigan,8474000,other_team,250,69,0.276
2007,4,7,98,ANA,Sebastian Stefaniszin,G,DEU,72,190,GERMANY,Eisbaren Berlin,8474181,active,214,159,0.743
2007,4,30,121,ANA,Mattias Modig,G,SWE,72,163,SWEDEN,Lulea,8474086,inactive,116,66,0.569
2007,5,30,151,ANA,Brett Morrison,C,CAN,61,192,QMJHL,PEI,8473655,inactive,112,77,0.688
2006,1,19,19,ANA,Mark Mitera,D,USA,75,202,CCHA,U. of Michigan,8473583,inactive,141,89,0.631
2006,2,8,38,ANA,Bryce Swan,R,CAN,74,191,QMJHL,Halifax,8473425,other_team,48,3,0.063
2006,3,20,83,ANA,John De Gray,D,CAN,76,204,OHL,Brampton,8473430,other_team,256,197,0.77
2006,4,19,112,ANA,Matt Beleskey,L,CAN,72,204,OHL,Belleville,8473492,inactive,234,96,0.41
2006,6,19,172,ANA,Petteri Wirtanen,C,FIN,73,207,FIN,HPK,8473494,active,63,60,0.952
2005,1,2,2,ANA,Bobby Ryan,R,USA,74,208,OHL,Owen Sound,8471676,other_team,242,91,0.376
2005,2,1,31,ANA,Brendan Mikkelson,D,CAN,75,205,WHL,Portland,8471705,inactive,247,114,0.462
2005,3,2,63,ANA,Jason Bailey,R,CAN,73,209,USA,US Nat'l U-18,8471725,active,167,11,0.066
2005,5,2,127,ANA,Bobby Bolt,L,CAN,76,219,OHL,Kingston,8471789,active,67,43,0.642
2005,5,16,141,ANA,Brian Salcido,D,USA,74,188,WCHA,Colorado College,8471803,active,266,238,0.895
2005,7,3,197,ANA,Jean-Philippe Levasseur,G,CAN,73,205,QMJHL,Rouyn Noranda,8471845,inactive,124,78,0.629
2004,1,9,9,ANA,Ladislav Smid,D,CZE,75,226,CZE,Liberec,8471222,active,76,16,0.211
2004,2,9,39,ANA,Jordan Smith,D,CAN,73,207,OHL,Sault-Ste-Marie,8471252,inactive,91,20,0.22
2004,3,9,74,ANA,Kyle Klubertanz,D,USA,73,178,USHL,Green Bay,8471287,inactive,9,6,0.667
2004,3,10,75,ANA,Tim Brent,C,CAN,72,188,OHL,Toronto St. Michael's,8470283,active,213,100,0.469
2004,6,9,172,ANA,Matt Auffrey,R,USA,74,203,USA,US Nat'l U-18,8471384,inactive,310,235,0.758
2004,7,10,203,ANA,Gabriel Bouthillette,G,CAN,75,205,QMJHL,Gatineau,8471415,inactive,155,113,0.729
2004,8,9,236,ANA,Matt Christie,C,CAN,61,185,CCHA,Miami University,8471447,other_team,341,86,0.252
2004,9,11,269,ANA,Janne Pesonen,F,FIN,61,180,FIN,Karpat,8471480,active,245,160,0.653
2003,1,19,19,ANA,Ryan Getzlaf,C,CAN,76,220,WHL,Calgary,8470612,inactive,298,254,0.852
2003,1,28,28,ANA,Corey Perry,R,CAN,75,206,OHL,London,8470621,other_team,285,208,0.73
2003,3,18,86,ANA,Shane Hynes,R,CAN,75,210,ECAC,Cornell U.,8470679,other_team,234,101,0.432
2003,3,22,90,ANA,Juha Alen,D,FIN,75,218,CCHA,Northern Michigan,8470683,active,286,6,0.021
2003,4,18,119,ANA,Nathan Saunders,D,CAN,76,210,QMJHL,Moncton,8470711,inactive,24,10,0.417
2003,6,19,186,ANA,Drew Miller,L,USA,74,178,USHL,River City,8470778,active,56,37,0.661
2003,7,21,218,ANA,Dirk Southern,C,CAN,72,177,CCHA,Northern Michigan,8470807,inactive,279,13,0.047
2003,8,21,250,ANA,Shane O'Brien,D,CAN,75,230,OHL,Toronto St. Michael's,8470839,other_team,249,36,0.145
2003,9,19,280,ANA,Ville Mantymaa,D,FIN,75,183,FIN,Tappara,8470869,other_team,417,308,0.739
2002,1,7,7,ANA,Joffrey Lupul,F,CAN,73,206,WHL,Medicine Hat,8470207,active,428,319,0.745
2002,2,7,37,ANA,Tim Brent,C,CAN,72,188,OHL,St. Michael's,8470283,inactive,201,72,0.358
2002,3,8,71,ANA,Brian Lee,D,USA,74,187,OHL,Erie,8470311,inactive,168,1,0.006
2002,4,7,103,ANA,Joonas Vihko,F,FIN,69,172,FIN,IFK,8470227,inactive,56,22,0.393
2002,5,9,140,ANA,George Davis,R,CAN,74,225,QMJHL,Cape Breton,8470194,other_team,316,117,0.37
2002,6,7,173,ANA,Luke Fritshaw,D,CAN,75,200,WHL,Prince Albert,8470240,active,278,167,0.601
2002,9,1,261,ANA,Francois Caron,D,CAN,75,182,QMJHL,Moncton,8470100,active,499,201,0.403
2002,9,7,267,ANA,Chris Petrow,D,CAN,74,188,OHL,Oshawa,8470081,other_team,500,394,0.788
2001,1,5,5,ANA,Stanislav Chistov,F,RUS,61,193,RUS,Omsk,8469458,active,253,112,0.443
2001,2,5,35,ANA,Mark Popovic,D,CAN,73,205,OHL,Toronto St. Michael's,8469488,inactive,54,52,0.963
2001,3,6,69,ANA,Joel Stepp,F,CAN,72,185,WHL,Red Deer,8469519,inactive,37,1,0.027
2001,4,6,102,ANA,Timo Parssinen,F,FIN,61,196,FIN,HPK,8469551,inactive,463,321,0.693
2001,4,9,105,ANA,Vladimir Korsunov,D,RUS,74,202,RUS JR,Spartak,8469554,other_team,76,25,0.329
2001,4,22,118,ANA,Brandon Rogers,D,USA,73,190,USHSE,Hotchkiss School,8469566,other_team,509,152,0.299
2001,5,6,137,ANA,Joel Perrault,C,CAN,74,212,QMJHL,Baie Comeau,8469584,active,42,12,0.286
2001,6,5,170,ANA,Jan Tabacek,D,SVK,61,169,SVK,Martin,8469617,other_team,2,0,0
2001,7,28,224,ANA,Tony Martensson,C,SWE,72,192,SWE,Brynas,8469667,other_team,170,161,0.947
2001,8,5,232,ANA,Martin Gerber,G,CHE,72,205,SUI,Langnau,8469675,active,451,371,0.823
2001,9,5,264,ANA,PA Parenteau,C,CAN,72,198,QMJHL,Chicoutimi,8469707,inactive,368,313,0.851
2000,1,12,12,ANA,Alexei Smirnov,L,RUS,75,215,,Tver,8468492,other_team,503,386,0.767
2000,2,14,44,ANA,Ilya Bryzgalov,G,RUS,75,213,,Lada Togliatti,8468524,other_team,468,404,0.863
2000,4,2,98,ANA,Jonas Ronnqvist,F,SWE,74,200,,Lulea HF,8468578,other_team,295,131,0.444
2000,5,4,134,ANA,Peter Podhradsky,D,SVK,0,185,,Bratislava,8468614,inactive,469,235,0.501
2000,5,23,153,ANA,Bill Cass,D,USA,0,217,,Boston College,8468633,inactive,238,208,0.874
2011,1,20,20,ARI,Connor Murphy,D,USA,75,190,USHL,USA U-18,8476473,inactive,37,7,0.189
2011,2,21,51,ARI,Alexander Ruuttu,C,USA,72,171,FINLAND-JR.,Jokerit Jr.,8476446,inactive,10,8,0.8
2011,2,26,56,ARI,Lucas Lessio,LW,CAN,73,200,OHL,Oshawa,8476451,inactive,50,25,0.5
2011,3,23,84,ARI,Harrison Ruopp,D,CAN,74,198,WHL,Prince Albert,8476408,inactive,41,0,0
2011,4,20,111,ARI,Kale Kessy,LW,CAN,75,184,WHL,Medicine Hat,8476353,other_team,18,3,0.167
2011,5,20,141,ARI,Darian Dziurzynski,LW,CAN,73,208,WHL,Saskatoon,8476037,other_team,24,2,0.083
2011,6,4,155,ARI,Andrew Fritsch,RW,CAN,72,187,OHL,Owen Sound,8476307,other_team,12,12,1
2011,7,15,196,ARI,Zac Larraza,LW,USA,74,194,USHL,USA U-18,8476280,other_team,8,5,0.625
2010,1,13,13,ARI,Brandon Gormley,D,CAN,74,185,QMJHL,Moncton,8475759,inactive,50,38,0.76
2010,1,27,27,ARI,Mark Visentin,G,CAN,74,187,OHL,Niagara,8475771,inactive,50,22,0.44
2010,2,22,52,ARI,Philip Lane,RW,USA,74,194,OHL,Brampton,8475719,active,59,2,0.034
2010,2,27,57,ARI,Oscar Lindberg,C,SWE,72,187,SWE-JR.,Skelleftea Jr.,8475715,inactive,11,10,0.909
