year,round,pickInRound,pickOverall,draftedbyteamid,draftedbyteamid.1,team.name,prospect.fullName,position,nationality,playerHeight,playerWeight,birthCity,birthDate,amateurLeague.name,amateurTeam.name,playerId,gamesPlayed,goals,assists,points,pointsPerGame,shotsAgainst,saves,shutouts,savePctg,jerseyNumber,teamName,onroster,status,gpPerYear,gpClass,ppgClass
2007,1,1,1,16,16,Chicago Blackhawks,Patrick Kane,RW,USA,70.0,178.0,"Buffalo, NY  USA",1988-11-19,OHL,London,8474141.0,1373.0,524.0,898.0,1422.0,1.0356882738528768,,,,,88.0,Detroit Red Wings,Y,other_team,80.76470588235294,4,5
2007,1,2,2,4,4,Philadelphia Flyers,James van Riemsdyk,LW,USA,75.0,200.0,"Middletown, NJ  USA",1989-05-04,USDP,USA U-18,8474037.0,1093.0,332.0,333.0,665.0,0.6084172003659652,,,,,21.0,Boston Bruins,Y,other_team,64.29411764705883,4,3
2007,1,3,3,27,59,Utah Hockey Club,Kyle Turris,C,CAN,73.0,185.0,"New Westminster, BC  CAN",1989-08-14,BCHL,Burnaby,8474068.0,845.0,182.0,275.0,457.0,0.5408284023668639,,,,,,,,inactive,49.705882352941174,3,3
2007,1,4,4,26,26,Los Angeles Kings,Thomas Hickey,D,CAN,71.0,184.0,"Calgary, AB  CAN",1989-02-08,WHL,Seattle,8474066.0,480.0,23.0,100.0,123.0,0.25625,,,,,,,,inactive,28.235294117647058,2,2
2007,1,5,5,15,15,Washington Capitals,Karl Alzner,D,CAN,75.0,206.0,"Burnaby, BC  CAN",1988-09-24,WHL,Calgary,8473991.0,750.0,23.0,118.0,141.0,0.188,,,,,,,,inactive,44.11764705882353,3,1
2007,1,6,6,22,22,Edmonton Oilers,Sam Gagner,F,CAN,71.0,191.0,"London, ON  CAN",1989-08-10,OHL,London,8474040.0,1054.0,197.0,336.0,533.0,0.5056925996204933,,,,,89.0,Edmonton Oilers,Y,active,62.0,4,3
2007,1,7,7,29,29,Columbus Blue Jackets,Jakub Voracek,RW,CZE,74.0,214.0,"Kladno, Czech Republic",1989-08-15,QMJHL,Halifax,8474161.0,1107.0,232.0,602.0,834.0,0.7533875338753387,,,,,,Utah Hockey Club,I,other_team,65.11764705882354,4,4
2007,1,8,8,6,6,Boston Bruins,Zach Hamill,C,CAN,71.0,180.0,"Vancouver, BC  CAN",1988-09-23,WHL,Everett,8474045.0,20.0,0.0,4.0,4.0,0.2,,,,,,,,inactive,1.1764705882352942,1,1
2007,1,9,9,28,28,San Jose Sharks,Logan Couture,C,CAN,73.0,195.0,"Guelph, ON  CAN",1989-03-28,OHL,Ottawa,8474053.0,1049.0,371.0,431.0,802.0,0.7645376549094375,,,,,39.0,San Jose Sharks,I,active,61.705882352941174,4,4
2007,1,10,10,13,13,Florida Panthers,Keaton Ellerby,D,CAN,76.0,186.0,"Strathmore, AB  CAN",1988-11-05,WHL,Kamloops,8474184.0,218.0,4.0,23.0,27.0,0.1238532110091743,,,,,,,,inactive,12.823529411764707,1,1
2007,1,11,11,12,12,Carolina Hurricanes,Brandon Sutter,F,USA,75.0,183.0,"Huntington, NY  USA",1989-02-14,WHL,Red Deer,8474091.0,820.0,161.0,146.0,307.0,0.374390243902439,,,,,,,,inactive,48.23529411764706,3,2
2007,1,12,12,8,8,Montréal Canadiens,Ryan McDonagh,D,USA,73.0,213.0,"St. Paul, MN  USA",1989-06-13,HIGH-MN,Cretin-Derham,8474151.0,1119.0,88.0,366.0,454.0,0.4057193923145665,,,,,27.0,Tampa Bay Lightning,Y,other_team,65.82352941176471,4,2
2007,1,13,13,19,19,St. Louis Blues,Lars Eller,F,DNK,74.0,198.0,"Rodovre, Denmark",1989-05-08,SWEDEN-JR.,Frolunda Jr.,8474189.0,1139.0,193.0,258.0,451.0,0.3959613696224758,,,,,20.0,Pittsburgh Penguins,Y,other_team,67.0,4,2
2007,1,14,14,21,21,Colorado Avalanche,Kevin Shattenkirk,D,USA,71.0,193.0,"New Rochelle, NY  USA",1989-01-29,USDP,USA U-18,8474031.0,1043.0,111.0,421.0,532.0,0.5100671140939597,,,,,12.0,Boston Bruins,Y,other_team,61.35294117647059,4,3
2007,1,15,15,22,22,Edmonton Oilers,Alex Plante,D,CAN,76.0,230.0,"Brandon, MB  CAN",1989-05-09,WHL,Calgary,8474046.0,10.0,0.0,2.0,2.0,0.2,,,,,,,,inactive,0.5882352941176471,1,1
2007,1,16,16,30,30,Minnesota Wild,Colton Gillies,C,CAN,76.0,189.0,"White Rock, BC  CAN",1989-02-12,WHL,Saskatoon,8474121.0,154.0,6.0,12.0,18.0,0.1168831168831168,,,,,,,,inactive,9.058823529411764,1,1
